participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P07,tactiles,fragile,3,1.0,26813.7949,0.9842,2.8241,4389.152300000002,1.6553618794998102,1.0,0.04789999999999983
P07,tactiles,fragile,4,0.0,27278.8477,0.9842,3.8853,0.0,,0.0,0.12840000000000007
P07,tactiles,fragile,5,1.0,23790.5352,0.9842,3.0812,0.0,1.4313075506445667,2.0,0.33619999999999983
P07,visual_only,deformable,1,,9906.8906,0.8552,4.6929,1986.1445000000003,1.2727607136288386,1.0,0.2887000000000004
P07,visual_only,deformable,2,,1129.7332,0.3735,4.1523,0.0,0.33958122255994594,0.0,0.14539999999999953
P07,visual_only,deformable,3,,1784.4758,0.3917,3.2118,0.0,0.4323383995605204,0.0,0.19010000000000016
P07,visual_only,deformable,4,,12959.085,0.8143,3.294,60.313499999998385,0.4865190540744086,2.0,0.4639999999999995
P07,visual_only,deformable,5,,12173.583,0.8189,3.2327,748.5019000000011,0.8861269268157201,7.0,0.7991000000000001
P07,visual_only,fragile,1,0.0,35224.0391,0.9842,4.6352,15273.783200000002,,5.0,0.14449999999999985
P07,visual_only,fragile,2,0.0,30384.5293,0.9842,3.8939,7807.533199999998,10.481832543443932,5.0,0.14360000000000017
P07,visual_only,fragile,3,1.0,32427.4336,0.9842,3.6828,0.0,0.22805397362885435,12.0,0.06590000000000007
P07,visual_only,fragile,4,1.0,27457.3223,0.9842,3.8836,665.9805000000015,2.8854961832060986,25.0,2.656299999999999
P07,visual_only,fragile,5,0.0,40841.3555,0.9842,7.576,0.0,4.39447907390916,8.0,0.09609999999999985
P08,lra,deformable,1,,373.2216,0.1634,3.5663,101.22020000000003,,23.0,0.14449999999999985
P08,lra,deformable,2,,27.2924,0.1632,2.6919,19.5228,0.15015479876160973,13.0,0.06449999999999978
P08,lra,deformable,3,,533.2024,0.2107,1.5477,317.42600000000004,0.16256880733944948,9.0,0.0645
P08,lra,deformable,4,,2543.0498,0.5953,1.9519,553.5038999999997,5.690625000000014,5.0,0.12890000000000024
